gender,age,height,rightfoot,armspan,wrist,neck
male,12,1700,300,1700,170,340
female,12,1550,240,1600,170,330
male,10,1320,220,1310,140,280
male,12,1500,220,1560,140,290
male,11,1500,220,1250,120,180
male,13,1740,270,1770,150,390
female,13,1610,230,1550,140,300
female,11,1450,210,1470,140,290
female,14,1650,250,1650,150,300
male,9,1360,190,1210,140,310
female,16,1580,240,1640,150,330
female,15,1640,260,1590,180,340
female,13,1580,240,1530,160,300
male,14,1640,240,1640,150,330
male,13,1760,260,,180,390
female,15,1600,210,1570,160,350
male,15,1720,290,1770,180,320
male,13,,240,1620,100,320
female,15,1600,230,1640,150,320
male,14,1740,290,1730,190,370
female,15,1730,100,1640,,
female,10,1300,220,1280,,
male,14,1720,290,,180,410
male,14,1760,260,1740,180,320
female,13,1540,300,1540,150,300
male,8,1310,100,,,
male,12,1510,240,1540,150,300
female,13,1520,320,1540,170,300
female,14,1530,250,1530,120,180
male,14,1680,,1680,180,360
female,14,1590,230,1580,150,330
male,15,1700,240,1580,150,310
male,10,1450,220,1360,150,280
female,10,1430,,,140,270
male,11,1550,250,1550,170,330
female,12,1460,200,1450,140,320
female,13,1370,240,1490,170,350
female,14,1650,240,1600,160,340
male,15,1700,100,1770,,
male,17,1780,260,1740,,340
male,11,1480,210,1420,180,310
male,9,1480,180,1650,160,280
female,12,1580,220,1620,,240
male,15,1640,270,1700,170,330
female,13,1610,230,1630,130,270
male,10,1470,230,1390,180,300
male,15,1830,280,1200,100,220
female,14,1630,240,1620,170,320
male,12,1640,250,1600,180,320
female,13,1560,230,1560,160,290
female,17,1750,230,1750,160,320
female,13,1660,250,1750,170,330
male,13,1560,230,1570,240,
male,14,1850,280,1840,190,380
male,10,1460,240,1330,160,370
female,12,1690,240,1700,150,300
female,11,1530,210,1500,150,310
female,14,1640,230,1630,150,320
,13,1560,220,1570,150,300
female,13,1650,230,1530,150,300
